//DATASET,
//created,Wed, 25 Apr 2018 21:19:06 GMT

//TRACE,Waveform,Input 1 
//SampledBand
#Time,"Electrical Signal"
#(ns),(a.u.)
1.6725,0.00371055173516096
1.675,0.00387363920721284
1.6775,0.0042712515967031
1.68,0.00494541996714549
1.6825,0.00590604423452015
1.685,0.00712436384903768
1.6875,0.00858578162152014
1.69,0.0102639526515106
1.6925,0.0121394688393768
1.695,0.0142362390844892
1.6975,0.0165457957221219
1.7,0.0189976641539295
1.7025,0.0214472221288488
1.705,0.023638173360548
1.7075,0.025305406936416
1.71,0.0262735392932956
1.7125,0.0265271847995445
1.715,0.026247390384673
1.7175,0.0257958577554609
1.72,0.0256682927395724
1.7225,0.0263766021618901
1.725,0.0283367989541402
1.7275,0.0318750056037059
1.73,0.0372199446334847
1.7325,0.0443692079101279
1.735,0.0529765971621931
1.7375,0.0623107665887808
1.74,0.0714583278866157
1.7425,0.0796495357238741
1.745,0.0863971277431364
1.7475,0.0914363055743616
1.75,0.0947948485773989
1.7525,0.0965808253154142
1.755,0.096670185441664
1.7575,0.0947359075148361
1.76,0.0905334914751515
1.7625,0.0841210764522218
1.765,0.0759021646034901
1.7675,0.0664783798490091
1.77,0.0564916070094958
1.7725,0.0465443986602938
1.775,0.0371535991608687
1.7775,0.0286973055303433
1.78,0.0214245592214752
1.7825,0.015464772773737
1.785,0.0108293144841995
1.7875,0.00742569631189314
1.79,0.00510988653426212
1.7925,0.00373183776316925
1.795,0.00316060779934137
1.7975,0.00331433019440019
1.8,0.00421623732633662
1.8025,0.00597217672505049
1.805,0.00870192359408278
1.8075,0.0126008970132838
1.81,0.0179840748312172
1.8125,0.0250913795306575
1.815,0.0338442957158097
1.8175,0.0437758658577778
1.82,0.0542089562438793
1.8225,0.0645490233980942
1.825,0.0742790162317041
1.8275,0.0828253566581954
1.83,0.0896551838870741
1.8325,0.0943745766071639
1.835,0.0967057550065926
1.8375,0.0964026839613701
1.84,0.0932925011251587
1.8425,0.087482695037339
1.845,0.0794163131617243
1.8475,0.0697549326005174
1.85,0.0592768959589811
1.8525,0.0487490744480376
1.855,0.0388034607465608
1.8575,0.0298869107738873
1.86,0.02226951292426
1.8625,0.0160575316754933
1.865,0.0112336985451622
1.8675,0.00771992945570121
1.87,0.00541119201763438
1.8725,0.00417476240859897
1.875,0.00382860110538218
1.8775,0.00415342662562305
1.88,0.00496390416925657
1.8825,0.00612822774842223
1.885,0.00755809762984952
1.8875,0.00919750849623539
1.89,0.0110243264110098
1.8925,0.0130288272001354
1.895,0.0151820382418205
1.8975,0.017429053859481
1.9,0.0196846793400459
1.9025,0.0218497549375783
1.905,0.023791471064885
1.9075,0.0253762803758255
1.91,0.0265223526266247
1.9125,0.0272316107872923
1.915,0.0275851914634358
1.9175,0.027699502547884
1.92,0.0276982556113523
1.9225,0.0276642092777099
1.925,0.0276534780674058
1.9275,0.0276797837746748
1.93,0.0277267109549543
1.9325,0.0278059576916717
1.935,0.0279365215856407
1.9375,0.028098072527046
1.94,0.0282415698699014
1.9425,0.0283554503679825
1.945,0.0284400835539077
1.9475,0.0284712460785119
1.95,0.0284584746628654
1.9525,0.0284406991877825
1.955,0.0284558221122949
1.9575,0.0285189664159565
1.96,0.0286279627085724
1.9625,0.0287593378625434
1.965,0.0288660557242035
1.9675,0.0288823142876594
1.97,0.0287611252027609
1.9725,0.0285301746542216
1.975,0.0282523275747019
1.9775,0.0279842897611969
1.98,0.0277659010059909
1.9825,0.0276252416396306
1.985,0.0275725582510071
1.9875,0.0275953001402893
1.99,0.0276562504731636
1.9925,0.0277291869468595
1.995,0.0277867466118837
1.9975,0.0278286473976675
2,0.0278552900217255
2.0025,0.0278668120456051
2.005,0.0278695137655533
2.0075,0.0278548262852072
2.01,0.02783862457779
2.0125,0.0278352318581861
2.015,0.0278513471113574
2.0175,0.0279161118143276
2.02,0.0280850214089732
2.0225,0.0283576929052793
2.025,0.0286333228684889
2.0275,0.0287810423367016
2.03,0.0286377717904662
2.0325,0.0280523971640197
2.035,0.0269760649366263
2.0375,0.0255183299551118
2.04,0.023933928974393
2.0425,0.0225910292556287
2.045,0.0219180917929777
2.0475,0.0223382782558697
2.05,0.0242590482459349
2.0525,0.0279766893514593
2.055,0.0334959682156296
2.0575,0.040439476648601
2.06,0.0480599191395422
2.0625,0.0553804954508918
2.065,0.061498099651407
2.0675,0.0658453333919904
2.07,0.0683189537278849
2.0725,0.0693339191043812
2.075,0.0696185292414361
2.0775,0.0698104616983397
2.08,0.0702697698681254
2.0825,0.0709900552048283
2.085,0.0716978041286699
2.0875,0.0721925413289025
2.09,0.0724686253868838
2.0925,0.0726168240356825
2.095,0.0726923156365952
2.0975,0.0726841240223434
2.1,0.0727242568662043
2.1025,0.0731878637177002
2.105,0.0745410088140768
2.1075,0.0770565242143127
2.11,0.0805870657061322
2.1125,0.0844989600545805
2.115,0.0878430230497032
2.1175,0.0895883893993661
2.12,0.0889512371801195
2.1225,0.0856115353914705
2.125,0.0796886266614899
2.1275,0.0716555474517822
2.13,0.0622104623640437
2.1325,0.0521468710694045
2.135,0.0422105369787018
