//DATASET,
//created,Wed, 25 Apr 2018 21:18:42 GMT

//TRACE,Waveform,Input 1 
//SampledBand
#Time,Power
#(ns),(µW)
1.975,322.4918765443
1.9775,322.817004429331
1.98,322.482471386609
1.9825,322.870356973829
1.985,322.955619387724
1.9875,322.497426225411
1.99,322.914978183479
1.9925,323.295285082493
1.995,322.989644447332
1.9975,322.569825233402
2,323.511600998887
2.0025,322.317424186205
2.005,322.276136359508
2.0075,322.396978622245
2.01,322.610311640613
2.0125,322.857127659394
2.015,322.833787367007
2.0175,322.659869611654
2.02,322.259491886852
2.0225,322.922687390272
2.025,322.578952769235
2.0275,322.052307640651
2.03,319.723042867349
2.0325,317.670555040235
2.035,328.030804260503
2.0375,371.000132312202
2.04,459.770725944818
2.0425,566.595615843179
2.045,647.987788891204
2.0475,688.178271973134
2.05,701.843319769999
2.0525,704.578353295205
2.055,705.153851492708
2.0575,705.053915511926
2.06,705.302235082695
2.0625,705.302852684733
2.065,705.324391179481
2.0675,705.784730816724
2.07,708.220923424136
2.0725,718.822671688708
2.075,749.57666210987
2.0775,807.270091199411
2.08,876.062478052973
2.0825,928.155114089796
2.085,954.872580137804
2.0875,964.871503108815
2.09,967.730875475705
2.0925,968.311382473315
2.095,968.395622893836
2.0975,968.404075683439
2.1,968.4045393428
2.1025,968.398564231254
2.105,968.328799846798
2.1075,967.702633080234
2.11,963.675344037116
2.1125,944.786896371224
2.115,874.192094820314
2.1175,685.418045591189
2.12,397.016469577471
2.1225,175.537843871898
2.125,80.9944194036415
2.1275,52.6041247045691
2.13,45.8635042501867
2.1325,44.7716766430494
2.135,44.5590066310669
2.1375,44.4439227140819
2.14,44.7460696792569
2.1425,44.5340274324168
2.145,44.731462190605
2.1475,44.7268328282055
2.15,45.7592606246457
2.1525,51.5976508052889
2.155,70.7341317004254
2.1575,113.662178044782
2.16,181.995901030597
2.1625,251.735263927654
2.165,297.087413989807
2.1675,316.002604654759
2.17,321.003905428036
2.1725,322.199351214105
2.175,322.548807146732
2.1775,322.520896960889
2.18,322.519202754543
2.1825,322.233507367963
2.185,322.088127923488
2.1875,321.313719813576
2.19,319.625514928316
2.1925,321.663418472335
2.195,346.366206457379
2.1975,416.743571062252
2.2,525.733942156336
2.2025,624.268702433626
2.205,679.559078678551
2.2075,699.5304402181
2.21,704.400727172228
2.2125,705.033586791059
2.215,704.974266851131
2.2175,705.4351851666
2.22,705.04607076601
2.2225,705.409160296795
2.225,705.198054831204
2.2275,704.412864877751
2.23,698.534337192319
2.2325,674.403611273948
2.235,601.158274240666
2.2375,454.995279904726
2.24,271.048970843473
2.2425,135.358712372381
2.245,72.2801632095756
2.2475,51.1384318732103
2.25,45.8322932058345
2.2525,44.6124645905817
2.255,44.4645844721551
2.2575,44.4747759765703
2.26,44.4829892545524
2.2625,44.4503656156652
2.265,44.4112566199738
2.2675,45.5899013894136
2.27,49.2869662291371
2.2725,60.9979681993327
2.275,92.3373886337997
2.2775,150.182904678915
2.28,222.316098389407
2.2825,279.93830644319
2.285,310.148987242298
2.2875,319.969933904279
2.29,322.508564076198
2.2925,322.874715959769
2.295,322.807915009998
2.2975,322.450552646264
2.3,322.388286827666
2.3025,322.409772826452
2.305,322.726497427647
2.3075,323.227326674131
2.31,326.116729466983
2.3125,340.114142933128
2.315,380.927083637492
2.3175,461.063922193746
2.32,561.755887737819
2.3225,643.427687528213
2.325,686.123777846695
2.3275,701.072885339913
2.33,704.625125098947
2.3325,705.057102757723
2.335,705.279046083887
2.3375,705.06866057051
2.34,705.096557735259
2.3425,705.232270850088
2.345,704.92926363781
2.3475,701.557030691911
2.35,685.967980467319
2.3525,635.501116888953
2.355,520.450042011104
2.3575,345.226110273279
2.36,182.574113533423
2.3625,91.5720013216122
2.365,57.116798919629
2.3675,47.3126397193294
2.37,44.8809079538858
2.3725,44.652400987242
2.375,44.4998446542275
2.3775,44.5613233655305
2.38,44.6092281381551
2.3825,44.4414648838179
2.385,44.83916375268
2.3875,46.7416262568466
2.39,55.9367177141274
2.3925,88.0114937195637
2.395,173.814528910371
2.3975,332.21411866462
2.4,509.416429443123
2.4025,629.551478207761
2.405,683.756389989275
2.4075,701.057062053712
2.41,704.787614363504
2.4125,705.276919679127
2.415,705.206453348689
2.4175,705.20072622915
2.42,705.354433386029
2.4225,705.435685599427
2.425,705.401671052831
2.4275,705.134468955518
2.43,705.063830919509
2.4325,705.072144938353
2.435,705.282272606978
2.4375,705.319007005567
2.44,705.146838879959
2.4425,705.143936593232
2.445,705.225970613511
2.4475,705.366003470457
2.45,705.303129868189
2.4525,705.222364530551
2.455,705.342277514814
2.4575,705.51186245493
2.46,705.339968086364
2.4625,705.229457590338
2.465,705.158866765128
2.4675,704.238572406768
2.47,699.124855903371
2.4725,675.70544362458
2.475,606.220623077209
2.4775,464.214718844695
2.48,281.535078094214
2.4825,141.30090965752
2.485,74.6010358993904
2.4875,52.0670512030386
2.49,46.0482670064116
2.4925,44.6954411223301
2.495,44.8396934189328
2.4975,44.4528288550204
2.5,44.4930892110788
2.5025,44.5703679888082
2.505,44.6209291979266
2.5075,45.367661223901
2.51,49.1203674120164
2.5125,64.9812899760956
2.515,118.029231225706
2.5175,243.377789657981
2.52,429.554943292169
2.5225,587.483842881104
2.525,669.499997840096
2.5275,697.437736153413
2.53,704.204025016768
2.5325,705.265043247605
2.535,705.201120355389
2.5375,705.245221617004
2.54,705.312548024456
2.5425,705.048163619764
2.545,704.542385354068
2.5475,700.70987656515
2.55,681.691855229085
2.5525,623.038126340228
2.555,496.512298261422
2.5575,317.445111420665
2.56,164.827274933556
2.5625,84.1689466424146
2.565,54.6693114965524
2.5675,46.5491481262679
2.57,44.8749688288998
2.5725,44.6234698303114
2.575,44.5796768591933
2.5775,44.639599002027
2.58,44.7289630419149
2.5825,44.4400521818535
2.585,44.4086276384288
2.5875,44.9105969845441
2.59,44.6580877123814
2.5925,44.6255461438942
2.595,44.4352870451694
2.5975,44.6290150094563
2.6,44.3651520221054
2.6025,44.4822819745871
2.605,44.5500402930318
2.6075,44.5470550691436
2.61,44.3978788102779
2.6125,44.6911961613265
2.615,44.2933034240724
2.6175,44.6303681980315
2.62,44.8207904297779
2.6225,44.519026292641
2.625,44.626137064237
2.6275,44.3538623099245
2.63,44.4286248998409
2.6325,44.5569890293328
2.635,44.4010845060722
2.6375,44.4464995858112
2.64,44.5954642516765
2.6425,44.4855669685912
2.645,44.3746530801445
2.6475,44.4072302881561
2.65,44.4746111144413
2.6525,44.3995234726328
2.655,44.6585658029204
2.6575,44.5873894177918
2.66,44.6146677919698
2.6625,44.3208444786066
2.665,44.7582979151672
2.6675,44.8050306740623
2.67,46.1779449078534
2.6725,52.7699877186182
2.675,77.4831239198669
2.6775,148.13646338696
2.68,292.258391528765
2.6825,473.79557080604
2.685,611.183498066983
2.6875,677.577339606673
2.69,699.564303041202
2.6925,704.334499215905
2.695,705.056418267662
2.6975,705.434269892537
2.7,705.402182959631
2.7025,705.154977830436
2.705,705.231276528119
2.7075,703.785712295069
2.71,697.1792903857
2.7125,673.586057355735
2.715,616.86248290096
2.7175,524.439812324706
2.72,425.040991520241
2.7225,358.287766784532
2.725,329.675657723242
2.7275,322.637859650543
2.73,322.517713468382
2.7325,322.485860004895
2.735,322.185743664769
2.7375,322.598067575666
2.74,322.64540462348
2.7425,322.298131810166
2.745,322.623860926541
2.7475,322.549266395136
2.75,321.850590734117
2.7525,318.941472352149
2.755,305.952433582841
2.7575,269.354261481334
2.76,204.932287369348
2.7625,131.862615903197
2.765,80.4526857367407
2.7675,55.811995243348
2.77,47.3719936370827
2.7725,44.8073035331113
2.775,44.5787358928523
2.7775,44.6434409073742
2.78,44.5695450642118
2.7825,44.6279477388541
2.785,44.7118613799098
2.7875,45.7445335582641
2.79,51.8815581718911
2.7925,74.6506198128403
2.795,140.639322158858
2.7975,280.280649138756
2.8,462.981293719006
2.8025,605.754484411383
2.805,675.810439442033
2.8075,698.965054041586
2.81,704.238455917663
2.8125,705.292286388555
2.815,705.260396026641
2.8175,705.25805269787
2.82,705.195941954483
2.8225,705.278067805103
2.825,705.06008510398
2.8275,704.269531554574
2.83,698.700362722656
2.8325,673.283811284464
2.835,599.283817867208
2.8375,451.955590343036
2.84,267.711498704412
2.8425,132.4598858621
2.845,71.3433177044178
2.8475,50.8865869412255
2.85,45.8313016703641
2.8525,44.7646098288286
2.855,44.3831336741817
2.8575,44.4961453885309
2.86,44.5175495029176
2.8625,44.850702541476
2.865,44.6891184302735
2.8675,44.6206341223374
2.87,44.7928551681666
2.8725,44.7343289398852
2.875,44.4190757291522
2.8775,44.5784831398721
2.88,44.5466730694262
2.8825,44.4975652774098
2.885,44.4259247205312
2.8875,44.6344990671898
2.89,44.3586532433728
2.8925,44.7709462593328
2.895,44.6456054310566
2.8975,44.7028804076797
2.9,44.6355094040222
2.9025,44.4700895846135
2.905,44.6706257566899
2.9075,44.5297709290911
2.91,44.6358835208555
